copies,from,trend,30days,7days,day,date
74.0,16.86,17.99,17.99,17.99,17.99,20/01/2023 17:37:38
,,,,,,
74.0,16.86,17.99,17.99,17.99,17.99,20/01/2023 19:07:04
74.0,16.86,17.99,17.99,17.99,17.99,20/01/2023 19:09:18
74.0,16.86,17.99,17.99,17.99,17.99,20/01/2023 20:25:06
74.0,16.85,17.99,17.99,17.99,17.99,20/01/2023 21:22:42
74.0,16.85,17.99,17.99,17.99,17.99,20/01/2023 21:57:24
80.0,15.94,17.94,17.95,17.95,17.94,21/01/2023 16:10:30
91.0,15.45,15.84,16.72,16.72,15.88,23/01/2023 11:06:46
91.0,14.94,15.84,16.72,16.72,15.88,23/01/2023 15:33:02
142.0,14.94,15.84,16.72,16.72,15.88,23/01/2023 17:18:56
142.0,14.92,15.84,16.72,16.72,15.88,23/01/2023 18:53:36
73.0,14.79,15.01,16.26,16.26,15.4,25/01/2023 17:08:42
73.0,14.89,15.01,16.26,16.26,15.4,25/01/2023 20:33:44
73.0,14.89,15.01,16.26,16.26,15.4,25/01/2023 20:35:55
73.0,18.9,15.01,16.26,16.26,15.4,25/01/2023 20:38:23
73.0,18.9,15.01,16.26,16.26,15.4,25/01/2023 20:45:52
73.0,16.45,14.99,15.78,15.78,15.66,26/01/2023 11:15:21
73.0,16.45,14.99,15.78,15.78,15.66,26/01/2023 11:16:47
73.0,16.45,14.99,15.78,15.78,15.66,26/01/2023 11:26:04
